주민등록번호,이름,연봉,결혼여부,자녀수,부양가족수,의료비공제액,교육비공제액,주택자금공제액,기부금공제액,신용카드사용액,체크카드사용액,현금영수증사용액,연금저축공제액,퇴직연금공제액,소득공제총액
290308-1567325,이정식,28800000,기혼,0,4,1540000,1210000,3390000,1220000,113890000,16950000,4890000,630000,4330000,12320000
020506-2378464,윤영수,27990000,미혼,1,2,3210000,1920000,1720000,1000000,107600000,46020000,2430000,2710000,2480000,13040000
660907-2499383,민도윤,98870000,미혼,0,1,3850000,1560000,5500000,1850000,147160000,13410000,26890000,2190000,1950000,16900000
390200-1657242,이영철,84640000,미혼,0,2,2170000,310000,4310000,1960000,124300000,21760000,14240000,1620000,1240000,11610000
800019-1184296,허진호,83340000,기혼,2,2,4000000,500000,510000,1650000,134210000,22450000,7170000,2010000,4430000,13100000
600200-1611954,양민석,24170000,미혼,0,1,3390000,1400000,5860000,850000,27640000,9120000,17970000,3760000,4220000,19480000
320419-2827963,신영철,67990000,미혼,0,3,3790000,1610000,4630000,1190000,48700000,23650000,4980000,1980000,5420000,18620000
880520-2599796,김순자,40190000,미혼,1,2,2700000,1680000,5840000,1230000,41450000,62990000,47130000,2480000,3070000,17000000
120401-2329210,윤영철,59190000,기혼,3,3,4230000,680000,310000,1750000,44870000,58630000,3310000,730000,4030000,11730000
960309-1048306,김현우,37590000,기혼,0,3,3730000,540000,4270000,1190000,129530000,69090000,26840000,3490000,720000,13940000
200503-1712062,이현우,95030000,미혼,3,4,770000,1270000,2830000,380000,67420000,60420000,23760000,3730000,2210000,11190000
480302-1770027,심종수,91870000,기혼,3,5,3680000,0,1990000,1440000,29750000,71200000,46810000,70000,3540000,10720000
030511-2819368,김지영,44940000,미혼,1,1,4780000,2560000,6620000,900000,144520000,41880000,46220000,2660000,2850000,20370000
340703-2577734,김상호,62730000,미혼,2,2,1850000,290000,5450000,810000,41420000,14590000,26540000,1060000,2090000,11550000
350501-2942013,김도현,98700000,미혼,0,5,630000,190000,4370000,1530000,94220000,78590000,8280000,2770000,3240000,12730000
900611-1275570,김정자,75690000,미혼,1,1,30000,130000,7000000,240000,66430000,29440000,30670000,2130000,700000,10230000
050220-2923393,이영수,40750000,미혼,3,4,890000,70000,6690000,900000,113890000,16370000,44210000,1830000,4720000,15100000
380903-1401596,이하은,70470000,기혼,2,3,230000,1190000,2380000,630000,42880000,45350000,12960000,230000,1570000,6230000
130910-1947382,김도윤,45230000,기혼,2,2,3610000,2670000,6300000,1490000,63620000,64040000,21620000,620000,3250000,17940000
280704-1978128,김시우,42920000,기혼,2,2,3090000,880000,6150000,400000,79320000,70560000,33450000,620000,1840000,12980000
940506-2896660,김미숙,30610000,기혼,0,5,4030000,1120000,3280000,810000,180550000,52470000,27390000,2430000,3400000,15070000
760918-1535677,이서윤,33270000,미혼,2,4,4150000,2270000,560000,100000,144910000,88810000,5540000,1340000,120000,8540000
450103-2791237,이영철,24640000,미혼,2,5,1480000,2180000,2980000,270000,123690000,41700000,8940000,3580000,590000,11080000
870518-1887273,이성훈,59920000,기혼,2,2,4930000,2050000,2770000,260000,185750000,60900000,2510000,1070000,5490000,16570000
990919-2783079,문은경,80940000,기혼,0,5,560000,2870000,7840000,1040000,98950000,52750000,10780000,2700000,3270000,18280000
560206-2148475,김성수,91230000,미혼,0,4,2330000,670000,5210000,540000,140420000,96080000,38130000,2660000,5480000,16890000
960300-1196587,손은주,76450000,미혼,1,5,3450000,490000,6910000,1060000,48180000,53920000,3120000,60000,2880000,14850000
840616-2592239,김준호,75050000,미혼,3,2,2370000,2830000,100000,1980000,63220000,33990000,35600000,3050000,1790000,12120000
270120-2972652,김진우,66920000,기혼,1,2,660000,2490000,1570000,690000,174240000,79220000,14130000,760000,6580000,12750000
780912-2241738,심민재,89160000,미혼,0,2,400000,1880000,4970000,1400000,131520000,42360000,34760000,3090000,3500000,15240000
520422-2487146,조미영,56570000,기혼,3,3,1390000,2160000,970000,840000,111020000,8580000,23820000,700000,2980000,9040000
720406-2109200,이민수,29700000,미혼,1,2,4230000,2130000,2420000,840000,61980000,75110000,8620000,3270000,3380000,16270000
460512-1165365,이영진,87830000,기혼,1,3,4000000,1010000,2800000,60000,100560000,18440000,44620000,1230000,3180000,12280000
640400-1820920,김승민,98330000,기혼,2,2,3850000,2820000,640000,1680000,139580000,36830000,39820000,320000,2870000,12180000
570226-2694499,이유진,34300000,미혼,1,5,1680000,2110000,5990000,1430000,36910000,34690000,3360000,700000,350000,12260000
540823-1059173,노옥자,92960000,기혼,1,3,2380000,1100000,6060000,2000000,37410000,11690000,3370000,3670000,6160000,21370000
080729-2895386,최수빈,60600000,기혼,2,5,2530000,2920000,2360000,1440000,141090000,86670000,34990000,3950000,5320000,18520000
770319-1629014,김현주,44180000,미혼,2,1,2340000,1530000,2900000,720000,94010000,57540000,41730000,3160000,6500000,17150000
190824-2121781,지민재,63340000,기혼,0,2,1830000,1200000,2120000,1430000,98740000,89410000,49700000,1620000,3240000,11440000
300609-2885314,권영미,32390000,미혼,3,4,4900000,1440000,5940000,1690000,93350000,44150000,45140000,840000,3600000,18410000
640000-1544704,김정식,27710000,기혼,2,1,2500000,1720000,2970000,1720000,134860000,62150000,35280000,3210000,270000,12390000
350213-2943613,김경자,45970000,미혼,2,4,4870000,2330000,5720000,1300000,123580000,36320000,31870000,440000,6240000,20900000
730115-2153234,장정순,21320000,미혼,2,2,4870000,1390000,3420000,430000,19840000,29520000,45890000,1260000,30000,11400000
930806-1116149,한지은,66420000,미혼,2,3,3440000,10000,1590000,1120000,64160000,47530000,9690000,1260000,6630000,14050000
430725-1176384,고춘자,28090000,기혼,0,4,1450000,2000000,4350000,480000,10650000,55060000,15200000,1080000,3440000,12800000
490323-1242543,김경수,71030000,기혼,3,1,990000,2420000,7900000,300000,62610000,26480000,42480000,580000,770000,12960000
170920-1530829,곽정호,27900000,기혼,0,2,2080000,370000,4770000,870000,100870000,53800000,5110000,3910000,1720000,13720000
090827-2238660,이우진,83180000,기혼,2,4,4080000,1420000,7290000,1340000,152900000,20870000,3790000,3270000,5470000,22870000
800506-2549077,이도현,30370000,기혼,3,1,4820000,2340000,690000,150000,12370000,55950000,44680000,1020000,4560000,13580000
820626-1857954,양영일,89760000,기혼,3,1,2430000,10000,2310000,1790000,163570000,36920000,45140000,2340000,4010000,12890000
840520-1265785,최정자,81300000,기혼,1,4,4220000,1760000,5750000,400000,185570000,52750000,38220000,430000,750000,13310000
590300-1588422,장영길,64260000,기혼,2,2,1160000,1430000,3200000,1780000,89810000,89780000,3850000,3680000,3850000,15100000
850703-1083903,김아름,56250000,미혼,0,5,4130000,2660000,3670000,1070000,182760000,79620000,22270000,1540000,5490000,18560000
360523-2486257,장민수,95570000,기혼,0,2,4430000,580000,540000,1090000,44950000,11950000,16630000,3580000,3540000,13760000
240308-2421943,권옥순,74980000,미혼,1,5,1940000,2690000,5460000,370000,84080000,52060000,9000000,1080000,1480000,13020000
730920-1388206,홍지훈,86780000,미혼,1,5,2170000,2930000,7070000,1690000,29250000,61720000,6790000,2540000,6990000,23390000
460216-2168551,김준혁,20670000,미혼,2,4,4050000,2340000,4950000,1200000,83750000,92320000,14780000,3690000,2970000,19200000
750008-2736979,남정수,54560000,미혼,0,1,1220000,1190000,210000,730000,68000000,55300000,34990000,3400000,910000,7660000
610117-1312124,장영미,50990000,미혼,1,4,1950000,2700000,6620000,1040000,108550000,36220000,20220000,3650000,3980000,19940000
470326-2006354,김옥자,76230000,미혼,2,2,1130000,2190000,7820000,1950000,161950000,14820000,38930000,750000,4140000,17980000
320025-1937755,김서준,79070000,기혼,3,3,2150000,350000,2210000,1690000,170040000,28950000,19820000,3870000,3270000,13540000
310225-2168733,김지후,49230000,미혼,2,2,1840000,2280000,7610000,780000,134590000,72060000,15200000,3230000,5610000,21350000
940501-2795380,장영수,54000000,미혼,3,5,4910000,40000,4510000,1970000,17960000,29660000,32490000,3060000,210000,14700000
890310-1345568,박민지,51720000,미혼,3,2,4640000,2630000,6080000,1680000,160450000,83330000,40950000,430000,400000,15860000
160911-1377503,김선영,84990000,미혼,3,3,4640000,320000,2410000,740000,66000000,68630000,43860000,3390000,5460000,16960000
120717-1584758,황정식,73730000,미혼,1,3,3220000,2040000,7730000,310000,94820000,39690000,20250000,430000,1990000,15720000
100613-1858778,김순자,44320000,기혼,1,4,4480000,1230000,2720000,50000,77820000,39820000,20870000,1800000,6220000,16500000
140029-1240499,성혜진,58060000,기혼,1,2,2420000,2950000,1730000,1100000,131060000,20700000,33760000,710000,3690000,12600000
160306-1559650,최건우,99910000,미혼,1,4,3860000,360000,2660000,1550000,149130000,38700000,22510000,2940000,1290000,12660000
480416-2052106,김도현,71990000,미혼,0,1,210000,1060000,5780000,570000,57110000,13160000,35940000,2170000,5790000,15580000
630410-2297385,박지후,56250000,기혼,1,5,390000,2860000,6110000,500000,192910000,60760000,6000000,230000,3160000,13250000
610210-1127041,이은경,43280000,기혼,0,1,4640000,930000,6650000,880000,121650000,93750000,49930000,2220000,2230000,17550000
820400-2683771,오선영,22480000,기혼,1,2,2490000,2040000,7880000,1660000,105830000,72350000,34600000,2610000,3330000,20010000
020702-2870763,김재현,93880000,기혼,1,4,1580000,1490000,190000,1910000,192530000,49380000,13330000,3120000,5430000,13720000
090907-2425755,지지아,98540000,기혼,1,3,330000,190000,4130000,110000,109180000,34330000,28540000,3580000,3740000,12080000
510925-1878324,박은서,58870000,미혼,3,5,2910000,1710000,5400000,1750000,146480000,27240000,17950000,460000,6600000,18830000
720023-1019300,양수진,83250000,기혼,0,1,3060000,1990000,4690000,520000,182920000,41420000,49140000,3160000,5680000,19100000
900603-2361436,유정식,93360000,미혼,2,3,4700000,790000,3700000,1690000,190390000,52800000,3730000,1210000,1750000,13840000
880305-1126791,김우진,90630000,기혼,0,3,1890000,2050000,5900000,450000,152700000,64410000,39810000,620000,1220000,12130000
240521-1040899,김예진,59310000,기혼,1,3,620000,190000,4520000,580000,92080000,35990000,36860000,2270000,460000,8640000
290916-1384681,김정희,64910000,기혼,1,3,4640000,2780000,1860000,100000,18970000,43750000,32190000,1510000,3800000,14690000
650923-2941528,김주원,98910000,미혼,0,2,4600000,2610000,6580000,1710000,194390000,42290000,42290000,2560000,3380000,21440000
510704-2196433,백성민,41450000,미혼,0,1,1130000,260000,1190000,1660000,89300000,94660000,39810000,2660000,2930000,9830000
630023-1035532,박건우,35890000,기혼,1,2,4990000,2550000,3440000,290000,188500000,36630000,42710000,3190000,2540000,17000000
260420-1102216,김하은,40090000,미혼,3,4,2180000,2910000,2410000,1190000,179360000,41140000,11380000,3710000,3280000,15680000
560521-1530657,이도윤,85740000,미혼,0,2,3680000,1790000,3640000,1300000,72220000,54380000,30350000,1340000,1760000,13510000
870929-2922904,김서준,91220000,미혼,2,2,620000,2520000,180000,760000,194740000,56290000,25790000,2150000,4160000,10390000
650512-2795970,류도윤,31040000,미혼,2,1,4250000,1300000,5900000,1870000,154260000,87450000,14620000,1150000,100000,14570000
590526-1429150,김경수,74300000,미혼,3,3,4970000,2570000,1210000,1520000,181450000,5480000,34640000,710000,1900000,12880000
000524-2181453,김아름,42940000,미혼,1,3,2440000,1620000,6860000,190000,122530000,87430000,45010000,3440000,1660000,16210000
690625-2382398,이정식,30050000,미혼,2,2,920000,700000,6020000,130000,170980000,96740000,45440000,3230000,570000,11570000
310701-1640520,서영순,26970000,기혼,0,1,2140000,2760000,4410000,320000,35490000,99790000,26460000,1250000,5090000,15970000
580428-1515842,최준영,38650000,기혼,0,3,1650000,2180000,6370000,560000,111400000,48460000,49660000,740000,2620000,14120000
980813-1665053,김은경,51940000,기혼,0,5,3140000,1640000,60000,810000,54100000,85150000,21780000,2850000,2300000,10800000
600322-1505461,김혜진,63870000,기혼,2,4,3480000,470000,6570000,640000,141680000,96920000,9800000,1100000,3090000,15350000
040123-2372857,백선영,28210000,기혼,2,5,4230000,980000,5560000,150000,109070000,75380000,41570000,2140000,590000,13650000
390712-1914799,박순자,97680000,미혼,0,4,2280000,1250000,3640000,1020000,48850000,80180000,47870000,350000,5370000,13910000
060502-2265530,박지아,69500000,미혼,0,3,1940000,1090000,5070000,560000,54810000,17000000,23930000,2210000,5270000,16140000
790929-1703306,배순옥,74220000,미혼,2,3,1580000,980000,900000,820000,115850000,97760000,4820000,560000,4320000,9160000
460010-1837315,김상철,58210000,미혼,3,2,4720000,90000,2630000,1160000,67190000,32830000,49120000,590000,3790000,12980000
690814-1174365,이혜진,41050000,기혼,0,2,2040000,20000,340000,430000,171500000,81380000,32810000,680000,1820000,5330000
220503-1459027,김정순,78860000,미혼,2,5,2720000,2610000,5860000,1440000,96120000,89030000,19660000,2360000,6690000,21680000
120515-1129750,윤보람,24200000,기혼,0,4,820000,1040000,2150000,380000,21240000,71110000,6180000,3560000,1350000,9300000
300922-2592742,이상호,80860000,미혼,2,4,3900000,2580000,5180000,1010000,95640000,88050000,44050000,2550000,5990000,21210000
860221-2697007,김병철,31990000,기혼,3,5,1090000,180000,230000,260000,198070000,36440000,4050000,80000,700000,2540000
990711-1948040,문준호,97730000,미혼,1,2,1060000,1390000,6240000,1260000,13450000,31160000,11370000,90000,5970000,16010000
640305-2479754,류상호,56370000,기혼,1,5,2350000,1950000,5490000,1910000,164670000,55360000,24160000,910000,4740000,17350000
570829-1198280,김수진,55500000,기혼,2,1,4840000,400000,350000,430000,159220000,6120000,26370000,3800000,540000,10360000
960321-1528844,최민재,22080000,미혼,0,3,4280000,1190000,7260000,400000,14730000,39060000,44140000,540000,3820000,17490000
470014-1571248,권옥순,83470000,미혼,0,3,2180000,930000,7060000,1660000,74570000,37380000,42280000,2870000,5580000,20280000
780402-1875822,문영순,33800000,미혼,1,1,3660000,190000,2270000,1940000,192410000,79960000,27560000,740000,3270000,12070000
810418-2578807,이민석,88540000,기혼,0,3,4140000,350000,4920000,400000,16820000,84790000,21110000,1140000,740000,11690000
990607-2980473,김광수,72200000,미혼,0,4,2360000,540000,1100000,790000,56710000,27630000,25980000,1160000,2360000,8310000
280616-2070225,류도윤,26090000,기혼,2,3,2690000,1670000,7330000,650000,31690000,63670000,31930000,460000,2860000,15660000
610121-2161140,권은경,21760000,미혼,0,3,4890000,700000,3730000,780000,92970000,27160000,12390000,2740000,1920000,14760000
860709-2779189,김현우,60790000,미혼,0,1,4170000,2900000,2560000,1930000,111950000,95350000,43150000,360000,3570000,15490000
830517-1045693,손상훈,38680000,기혼,3,2,130000,760000,6360000,730000,135410000,73970000,44620000,1260000,2580000,11820000
500920-1732758,김병철,96200000,기혼,2,1,2060000,2140000,6580000,1360000,189180000,55150000,32490000,2970000,5080000,20190000
070318-1903655,김영환,82060000,기혼,0,5,1360000,2810000,3890000,560000,72560000,78900000,42640000,3880000,870000,13370000
400306-2108909,김현우,24060000,기혼,3,5,580000,2610000,6940000,1220000,198040000,7960000,34790000,1560000,4480000,17390000
330712-1559662,장옥순,85090000,미혼,3,2,2070000,1810000,3360000,1110000,98520000,33820000,45110000,1390000,270000,10010000
230708-1045762,곽정자,36230000,기혼,3,1,900000,2880000,4030000,1990000,186690000,16290000,18670000,1050000,590000,11440000
090100-1511523,민서윤,23000000,기혼,2,3,1790000,1300000,1440000,200000,126180000,28720000,39230000,2870000,3490000,11090000
150513-1510727,나재현,54560000,기혼,3,4,670000,1450000,1690000,2000000,61420000,58920000,43870000,880000,3790000,10480000
650217-1447033,고정웅,69980000,미혼,1,3,1370000,2180000,6430000,1460000,22420000,78790000,21160000,3650000,160000,15250000
690314-2765500,장미숙,50670000,기혼,1,4,1930000,560000,6560000,1430000,35600000,6030000,8790000,1890000,6590000,18960000
820829-2620381,유현준,83620000,미혼,3,2,2000000,1060000,4440000,1650000,98520000,17330000,40980000,3660000,6850000,19660000
260823-2622890,박정식,27640000,미혼,3,4,4560000,330000,1430000,1150000,31330000,7170000,9640000,3420000,2620000,13510000
820828-2956017,이채원,83160000,기혼,1,3,4030000,2090000,7280000,190000,42460000,68840000,32810000,1010000,6780000,21380000
860821-2741575,홍숙자,75900000,기혼,1,1,2510000,750000,4680000,1640000,50260000,51940000,9210000,2660000,3380000,15620000
100315-2057902,윤지훈,34320000,미혼,3,4,1800000,1220000,4550000,210000,101900000,66420000,11400000,2510000,6410000,16700000
970620-1210611,이영진,88610000,기혼,1,4,2810000,2880000,6120000,80000,111590000,82070000,32240000,1420000,4740000,18050000
730828-2339341,김민재,68140000,기혼,3,2,3470000,320000,2300000,360000,112670000,26140000,31560000,3530000,1920000,11900000
960225-2357400,장영수,91550000,기혼,2,1,2210000,1030000,3860000,1920000,157890000,41610000,25560000,2700000,5940000,17660000
890802-1528886,이예지,84660000,기혼,1,4,3000000,790000,4750000,1030000,43620000,17110000,41660000,1350000,660000,11580000
120609-2729170,김민지,51210000,미혼,1,2,1770000,120000,2310000,820000,198450000,86350000,12340000,1740000,380000,7140000
060417-2014566,김선영,51660000,미혼,2,3,2490000,0,7860000,1080000,186820000,82800000,49740000,1940000,4280000,17650000
270720-2510167,이상훈,90950000,미혼,0,3,700000,880000,4430000,1190000,44380000,70920000,12280000,1840000,1070000,10110000
140500-1138133,김정숙,81390000,기혼,3,3,2420000,2560000,7580000,1330000,16930000,81240000,3340000,1440000,6700000,22030000
810227-1388903,이유진,88300000,기혼,0,1,2800000,970000,5190000,630000,181950000,54360000,46250000,1640000,6790000,18020000
090423-2592073,김성호,38160000,기혼,1,1,1500000,2680000,6670000,1600000,146230000,38290000,2190000,3370000,280000,16100000
700910-1683193,홍하은,35230000,기혼,1,5,4270000,2120000,3480000,150000,193230000,94990000,3900000,1430000,5250000,16700000
770326-2805918,이명숙,49950000,미혼,2,5,2690000,2920000,7720000,1280000,144220000,91660000,31720000,1690000,1740000,18040000
320923-2925898,김영일,43080000,기혼,2,5,2920000,2470000,3580000,1140000,59880000,79270000,41210000,3300000,5450000,18860000
580115-1800039,박숙자,30580000,미혼,3,3,2890000,2170000,7390000,930000,81130000,32960000,34630000,2320000,6430000,22130000
730217-1633540,유정수,75650000,기혼,3,4,1770000,2350000,2960000,540000,74230000,98370000,5710000,2000000,4290000,13910000
920023-2450421,차정순,90560000,미혼,2,4,1710000,1340000,4460000,40000,188730000,84540000,5430000,140000,6880000,14570000
920502-2854286,백수민,34470000,미혼,3,5,2230000,1700000,2000000,900000,177160000,96360000,10950000,440000,1910000,9180000
140721-2257250,류상현,70850000,미혼,0,3,2650000,1250000,2920000,1890000,142560000,67530000,23820000,690000,5280000,14680000
880416-1381553,이정식,82550000,미혼,0,4,4170000,130000,5850000,1360000,185580000,60340000,30100000,1290000,500000,13300000
440212-2478714,한성수,93120000,기혼,2,1,4150000,1830000,3610000,1380000,32750000,63890000,49770000,580000,2970000,14520000
850407-2047075,김상호,44220000,기혼,2,4,490000,2780000,6810000,790000,151590000,25860000,25910000,1960000,360000,13190000
800314-2872213,서정순,31000000,기혼,1,5,2390000,830000,2180000,1110000,131330000,45200000,45130000,1400000,4570000,12480000
320312-1044232,엄진우,99860000,미혼,1,2,150000,1720000,2170000,1870000,87850000,80110000,18790000,2410000,6220000,14540000
040121-1438917,엄정훈,88770000,기혼,0,2,2290000,2010000,3350000,820000,87610000,21570000,5370000,2180000,5060000,15710000
980629-2790928,민선영,48930000,기혼,2,4,2900000,2730000,6850000,720000,137990000,7670000,11410000,1470000,2390000,17060000
710308-2890860,이성수,90060000,기혼,1,5,660000,510000,4270000,1210000,66170000,20260000,33990000,3110000,5780000,15540000
040114-1838100,박현정,59690000,미혼,2,1,380000,1330000,3130000,1340000,165460000,81600000,18920000,2540000,3960000,12680000
210417-2526292,윤보람,85440000,미혼,0,5,580000,890000,340000,1640000,102250000,96660000,39700000,1430000,5160000,10040000
380409-2220169,엄은지,92830000,미혼,2,3,380000,1260000,5950000,690000,11720000,76750000,32860000,2360000,3870000,14510000
640213-2931370,이민서,60710000,미혼,1,5,800000,740000,0,1800000,150630000,50380000,33250000,3860000,360000,7560000
910827-1916862,한영철,39770000,미혼,3,5,660000,500000,3420000,750000,42100000,86980000,5430000,1480000,3330000,10140000
700401-2919289,이준혁,99130000,기혼,0,5,50000,1130000,6910000,570000,49980000,67620000,16290000,840000,5040000,14540000
990025-1139889,이준영,69720000,미혼,1,1,2560000,2840000,4310000,1940000,129260000,85880000,29940000,1880000,3470000,17000000
760301-1204124,김민지,78650000,미혼,1,3,3730000,1820000,1830000,720000,185160000,90490000,9620000,3680000,2370000,14150000
750700-1408805,박상호,75420000,기혼,3,3,290000,1600000,4080000,1970000,194890000,96880000,20130000,1380000,5550000,14870000
070212-1648213,이현숙,94360000,기혼,0,1,1410000,1190000,3530000,630000,65370000,88200000,43200000,3340000,6140000,16240000
000505-2302828,이지아,70930000,기혼,0,1,1020000,2140000,580000,1580000,15780000,28500000,45960000,40000,1860000,7220000
740227-2482764,백준호,84170000,미혼,2,1,3410000,1490000,5010000,1230000,145770000,75180000,7050000,3880000,2350000,17370000
010215-2921186,신지현,96750000,미혼,2,2,3400000,2490000,7680000,1820000,107310000,69910000,18900000,1450000,260000,17100000
200619-1769999,하재호,60290000,기혼,3,5,1330000,1790000,6680000,1990000,141950000,75840000,30020000,2500000,6110000,20400000
810922-1179764,김지영,33250000,미혼,2,2,1410000,610000,3230000,1490000,82910000,5940000,17080000,2500000,5610000,14850000
000026-2646737,안동현,91500000,기혼,0,3,4400000,1590000,880000,1820000,62380000,98980000,17590000,3200000,1540000,13430000
070815-1901300,이영호,85610000,미혼,2,4,1030000,2470000,4890000,120000,81990000,31290000,21480000,1970000,1350000,11830000
600303-1669794,우은영,50950000,기혼,1,5,4510000,2740000,750000,1010000,97470000,82120000,13490000,1810000,5390000,16210000
210928-2642387,양준서,79720000,미혼,1,1,3250000,990000,2500000,1000000,197330000,69440000,21540000,3460000,1440000,12640000
030821-2252933,강은주,91120000,기혼,3,4,3710000,90000,3470000,270000,192180000,60850000,20730000,1700000,3410000,12650000
930012-2170225,강도현,21740000,미혼,0,3,1370000,2010000,7240000,900000,93460000,38680000,13690000,1010000,3650000,16180000
370614-2933236,박재호,79890000,기혼,0,4,2640000,1890000,7360000,1460000,125150000,86380000,36300000,880000,1930000,16160000
710105-1025401,김예준,21400000,기혼,2,1,1760000,1810000,810000,900000,70760000,47240000,22460000,2270000,1070000,8620000
620229-1463907,이영순,90160000,기혼,1,1,3080000,1410000,3550000,1380000,139000000,30450000,17340000,3150000,1060000,13630000
600929-2381738,김명자,45790000,미혼,2,3,2210000,610000,5600000,540000,88190000,14640000,7570000,3860000,2640000,15460000
830214-2797614,권은지,34340000,미혼,3,4,1730000,1320000,6890000,640000,21880000,7750000,11180000,3450000,2600000,16630000
090700-1319320,최예지,65170000,미혼,0,1,690000,80000,1330000,1040000,83170000,80120000,29900000,3010000,3410000,9560000
460113-2715039,문수진,40730000,미혼,0,2,2540000,1930000,6930000,850000,116700000,85910000,46700000,3520000,5270000,21040000
230907-1384869,송순옥,73870000,미혼,2,5,4650000,2830000,4990000,1510000,164050000,71530000,35140000,2290000,2100000,18370000
360219-1463188,박중수,88920000,기혼,0,2,3320000,670000,6480000,1250000,18450000,96040000,7380000,1190000,2130000,15040000
530328-2493933,전광수,63220000,미혼,2,4,3840000,2430000,7370000,880000,20650000,67820000,31680000,1440000,6220000,22180000
910916-1179673,박정남,26070000,기혼,1,2,4550000,2110000,3100000,760000,71960000,44010000,47460000,110000,6410000,17040000
770417-1778097,이은지,56200000,미혼,3,4,720000,2200000,2190000,1850000,127810000,39670000,21710000,3090000,6760000,16810000
220029-2120167,김정웅,95520000,기혼,1,1,2930000,1260000,1000000,540000,48920000,76610000,17860000,1400000,6510000,13640000
890823-1850307,장영수,99350000,미혼,0,4,4790000,1920000,1690000,1660000,181510000,38140000,10800000,3600000,6480000,20140000
290922-1491984,홍예진,53850000,미혼,0,1,2160000,2960000,4630000,1710000,96570000,36310000,23830000,2310000,310000,14080000
020805-1409066,장민준,21110000,미혼,2,3,2460000,1610000,2900000,1020000,66120000,9850000,38420000,630000,5580000,14200000
900314-2412867,이재호,98630000,기혼,3,3,3700000,610000,1840000,1570000,49160000,95420000,43550000,2660000,5650000,16030000
630705-1779645,한명숙,39540000,기혼,2,2,3170000,2680000,7330000,1170000,21720000,55190000,12640000,3620000,5260000,23230000
820509-2749365,양동현,20900000,미혼,0,3,400000,2170000,2570000,90000,97590000,74460000,19060000,2250000,3410000,10890000
360528-2970929,이은지,68560000,미혼,0,1,1360000,2180000,2100000,980000,192390000,15940000,18400000,2330000,710000,9660000
160308-1443791,배명자,35840000,기혼,1,4,780000,1940000,4290000,1320000,132090000,54600000,8910000,2100000,310000,10740000
940214-2976682,김숙자,70810000,미혼,1,4,2970000,2170000,590000,840000,82390000,48290000,34440000,2210000,2750000,11530000
380621-1802397,박정웅,69070000,기혼,3,3,20000,130000,3620000,1990000,43500000,12110000,16880000,490000,6430000,12680000
790803-1408496,노우진,42620000,미혼,2,3,3560000,1670000,1520000,1640000,11650000,25800000,45270000,1700000,5510000,15600000
240618-2992755,김성현,99910000,기혼,1,4,3720000,2220000,1480000,170000,157100000,13350000,26040000,1950000,1390000,10930000
200515-1196406,박옥순,40070000,기혼,1,5,2180000,2120000,7330000,600000,11030000,99010000,28690000,1610000,3940000,17780000
090115-1879213,이영수,33760000,미혼,2,4,4450000,1560000,7790000,1990000,115110000,29660000,29950000,3800000,6650000,26240000
220713-1747519,강준호,87400000,미혼,1,1,3100000,910000,3220000,690000,113030000,7530000,37810000,330000,3680000,11930000
650927-1009822,이정웅,87950000,기혼,0,3,2690000,2780000,5890000,570000,64010000,5300000,25570000,2020000,6010000,19960000
510322-2423019,황서준,65210000,미혼,2,5,4200000,2810000,6420000,410000,45880000,17430000,2520000,1020000,6080000,20940000
150601-2752690,심진우,38020000,기혼,1,4,1400000,1450000,690000,1910000,92820000,80420000,9140000,2600000,5720000,13770000
780701-1250405,최영식,68860000,미혼,0,3,2160000,1970000,390000,1400000,47770000,69490000,43590000,0,6680000,12600000
610614-1390235,이정희,31620000,미혼,2,1,640000,130000,800000,150000,94420000,11490000,44720000,160000,1450000,3330000
210905-1021985,전영수,77360000,기혼,3,4,4350000,1420000,1980000,1030000,61990000,73090000,15960000,2860000,2040000,13680000
620905-2895792,권민재,97100000,기혼,3,1,2580000,1550000,700000,640000,123330000,20650000,44130000,2740000,4280000,12490000
910804-1810221,김지후,53070000,미혼,2,3,4580000,1160000,2880000,1950000,147150000,22030000,41430000,2490000,990000,14050000
830705-1824589,곽정희,99990000,기혼,0,3,2370000,260000,2050000,570000,131720000,88610000,33970000,2470000,3530000,11250000
690508-1486063,강영미,28190000,미혼,2,4,990000,1650000,6050000,420000,49090000,61270000,19740000,3560000,1010000,13680000
070909-1260380,이시우,97740000,기혼,2,1,3210000,630000,4230000,10000,149680000,80420000,47410000,880000,700000,9660000
570317-2863188,한영호,85430000,기혼,0,2,3560000,1580000,5930000,690000,30430000,33130000,47450000,1560000,4240000,17560000
370516-1785097,박시우,54790000,미혼,3,2,2740000,2610000,4610000,750000,57450000,47940000,15430000,530000,800000,12040000
290903-2324494,이성민,26720000,미혼,0,4,620000,60000,7210000,660000,109670000,67200000,46840000,2910000,410000,11870000
020613-1818440,서은경,74020000,기혼,0,1,4650000,400000,3710000,1470000,63910000,50020000,27170000,3640000,4620000,18490000
200523-2402057,신명숙,99470000,기혼,3,5,1170000,2000000,4090000,1290000,28710000,43050000,7100000,1700000,4840000,15090000
300113-2871590,이서준,76450000,기혼,0,1,2530000,1630000,5610000,1970000,32630000,51360000,3770000,1280000,3780000,16800000
280726-1881307,정지후,22920000,기혼,1,4,820000,1370000,600000,1110000,53290000,93880000,37680000,890000,2110000,6900000
